已完成torch.nn.functional.conv1d的API条件生成, 进度1/643
已完成torch.nn.functional.glu的API条件生成, 进度43/643
已完成torch.nn.functional.gelu的API条件生成, 进度44/643
已完成torch.nn.functional.logsigmoid的API条件生成, 进度45/643
已完成torch.nn.functional.hardshrink的API条件生成, 进度46/643
已完成torch.nn.functional.tanhshrink的API条件生成, 进度47/643
已完成torch.nn.functional.softsign的API条件生成, 进度48/643
已完成torch.nn.functional.softplus的API条件生成, 进度49/643
已完成torch.nn.functional.softmin的API条件生成, 进度50/643
已完成torch.nn.functional.softmax的API条件生成, 进度51/643
已完成torch.nn.functional.softshrink的API条件生成, 进度52/643
已完成torch.nn.functional.gumbel_softmax的API条件生成, 进度53/643
已完成torch.nn.functional.log_softmax的API条件生成, 进度54/643
已完成torch.nn.functional.tanh的API条件生成, 进度55/643
已完成torch.nn.functional.sigmoid的API条件生成, 进度56/643
已完成torch.nn.functional.hardsigmoid的API条件生成, 进度57/643
已完成torch.nn.functional.silu的API条件生成, 进度58/643
已完成torch.nn.functional.batch_norm的API条件生成, 进度59/643
已完成torch.nn.functional.instance_norm的API条件生成, 进度60/643
已完成torch.nn.functional.layer_norm的API条件生成, 进度61/643
已完成torch.nn.functional.local_response_norm的API条件生成, 进度62/643
已完成torch.nn.functional.normalize的API条件生成, 进度63/643
已完成torch.nn.functional.linear的API条件生成, 进度64/643
已完成torch.nn.functional.bilinear的API条件生成, 进度65/643
已完成torch.nn.functional.dropout的API条件生成, 进度66/643
已完成torch.nn.functional.alpha_dropout的API条件生成, 进度67/643
已完成torch.nn.functional.feature_alpha_dropout的API条件生成, 进度68/643
已完成torch.nn.functional.dropout2d的API条件生成, 进度69/643
已完成torch.nn.functional.dropout3d的API条件生成, 进度70/643
已完成torch.nn.functional.embedding的API条件生成, 进度71/643
JSON 解析错误: Expecting property name enclosed in double quotes: line 18 column 97 (char 754)
已完成torch.nn.functional.embedding_bag的API条件生成, 进度72/643
已完成torch.nn.functional.one_hot的API条件生成, 进度73/643
已完成torch.nn.functional.pairwise_distance的API条件生成, 进度74/643
已完成torch.nn.functional.cosine_similarity的API条件生成, 进度75/643
已完成torch.nn.functional.pdist的API条件生成, 进度76/643
已完成torch.nn.functional.binary_cross_entropy的API条件生成, 进度77/643
已完成torch.nn.functional.binary_cross_entropy_with_logits的API条件生成, 进度78/643
已完成torch.nn.functional.poisson_nll_loss的API条件生成, 进度79/643
已完成torch.nn.functional.cosine_embedding_loss的API条件生成, 进度80/643
已完成torch.nn.functional.cross_entropy的API条件生成, 进度81/643
已完成torch.nn.functional.ctc_loss的API条件生成, 进度82/643
已完成torch.nn.functional.hinge_embedding_loss的API条件生成, 进度83/643
已完成torch.nn.functional.kl_div的API条件生成, 进度84/643
已完成torch.nn.functional.l1_loss的API条件生成, 进度85/643
已完成torch.nn.functional.mse_loss的API条件生成, 进度86/643
已完成torch.nn.functional.margin_ranking_loss的API条件生成, 进度87/643
已完成torch.nn.functional.multilabel_margin_loss的API条件生成, 进度88/643
已完成torch.nn.functional.multilabel_soft_margin_loss的API条件生成, 进度89/643
已完成torch.nn.functional.multi_margin_loss的API条件生成, 进度90/643
已完成torch.nn.functional.nll_loss的API条件生成, 进度91/643
已完成torch.nn.functional.smooth_l1_loss的API条件生成, 进度92/643
已完成torch.nn.functional.soft_margin_loss的API条件生成, 进度93/643
已完成torch.nn.functional.triplet_margin_loss的API条件生成, 进度94/643
已完成torch.nn.functional.triplet_margin_with_distance_loss的API条件生成, 进度95/643
已完成torch.nn.functional.pixel_shuffle的API条件生成, 进度96/643
已完成torch.nn.functional.pixel_unshuffle的API条件生成, 进度97/643
已完成torch.nn.functional.pad的API条件生成, 进度98/643
已完成torch.nn.functional.interpolate的API条件生成, 进度99/643
已完成torch.nn.functional.upsample的API条件生成, 进度100/643
已完成torch.nn.functional.upsample_nearest的API条件生成, 进度101/643
已完成torch.nn.functional.upsample_bilinear的API条件生成, 进度102/643
JSON 解析错误: Expecting value: line 1 column 1 (char 0)
已完成torch.nn.functional.grid_sample的API条件生成, 进度103/643
已完成torch.nn.functional.affine_grid的API条件生成, 进度104/643
已完成torch.is_tensor的API条件生成, 进度105/643
已完成torch.is_storage的API条件生成, 进度106/643
已完成torch.is_complex的API条件生成, 进度107/643
已完成torch.is_floating_point的API条件生成, 进度108/643
已完成torch.is_nonzero的API条件生成, 进度109/643
已完成torch.set_default_dtype的API条件生成, 进度110/643
已完成torch.get_default_dtype的API条件生成, 进度111/643
已完成torch.set_default_tensor_type的API条件生成, 进度112/643
已完成torch.numel的API条件生成, 进度113/643
已完成torch.set_printoptions的API条件生成, 进度114/643
已完成torch.set_flush_denormal的API条件生成, 进度115/643
已完成torch.rand的API条件生成, 进度116/643
已完成torch.rand_like的API条件生成, 进度117/643
已完成torch.randn的API条件生成, 进度118/643
已完成torch.randn_like的API条件生成, 进度119/643
已完成torch.randint的API条件生成, 进度120/643
已完成torch.randint_like的API条件生成, 进度121/643
已完成torch.randperm的API条件生成, 进度122/643
已完成torch.empty的API条件生成, 进度123/643
已完成torch.tensor的API条件生成, 进度124/643
未找到 </think> 标签
已完成torch.sparse_coo_tensor的API条件生成, 进度125/643
已完成torch.as_tensor的API条件生成, 进度126/643
已完成torch.as_strided的API条件生成, 进度127/643
已完成torch.from_numpy的API条件生成, 进度128/643
已完成torch.zeros的API条件生成, 进度129/643
已完成torch.zeros_like的API条件生成, 进度130/643
已完成torch.ones的API条件生成, 进度131/643
已完成torch.ones_like的API条件生成, 进度132/643
已完成torch.arange的API条件生成, 进度133/643
已完成torch.range的API条件生成, 进度134/643
已完成torch.linspace的API条件生成, 进度135/643
已完成torch.logspace的API条件生成, 进度136/643
已完成torch.eye的API条件生成, 进度137/643
已完成torch.empty_like的API条件生成, 进度138/643
已完成torch.empty_strided的API条件生成, 进度139/643
已完成torch.full的API条件生成, 进度140/643
已完成torch.full_like的API条件生成, 进度141/643
已完成torch.quantize_per_tensor的API条件生成, 进度142/643
已完成torch.quantize_per_channel的API条件生成, 进度143/643
已完成torch.dequantize的API条件生成, 进度144/643
已完成torch.dequantize的API条件生成, 进度145/643
已完成torch.complex的API条件生成, 进度146/643
已完成torch.imag的API条件生成, 进度147/643
已完成torch.polar的API条件生成, 进度148/643
已完成torch.angle的API条件生成, 进度149/643
已完成torch.heaviside的API条件生成, 进度150/643
已完成torch.cat的API条件生成, 进度151/643
已完成torch.chunk的API条件生成, 进度152/643
已完成torch.column_stack的API条件生成, 进度153/643
已完成torch.dstack的API条件生成, 进度154/643
已完成torch.gather的API条件生成, 进度155/643
已完成torch.hstack的API条件生成, 进度156/643
已完成torch.index_select的API条件生成, 进度157/643
已完成torch.masked_select的API条件生成, 进度158/643
已完成torch.movedim的API条件生成, 进度159/643
已完成torch.moveaxis的API条件生成, 进度160/643
已完成torch.narrow的API条件生成, 进度161/643
已完成torch.nonzero的API条件生成, 进度162/643
已完成torch.reshape的API条件生成, 进度163/643
已完成torch.row_stack的API条件生成, 进度164/643
已完成torch.vstack的API条件生成, 进度165/643
已完成torch.scatter的API条件生成, 进度166/643
已完成torch.scatter_add的API条件生成, 进度167/643
已完成torch.split的API条件生成, 进度168/643
已完成torch.squeeze的API条件生成, 进度169/643
已完成torch.stack的API条件生成, 进度170/643
已完成torch.swapaxes的API条件生成, 进度171/643
已完成torch.transpose的API条件生成, 进度172/643
已完成torch.swapdims的API条件生成, 进度173/643
已完成torch.t的API条件生成, 进度174/643
已完成torch.take的API条件生成, 进度175/643
已完成torch.tensor_split的API条件生成, 进度176/643
已完成torch.tile的API条件生成, 进度177/643
已完成torch.unbind的API条件生成, 进度178/643
已完成torch.unsqueeze的API条件生成, 进度179/643
已完成torch.where的API条件生成, 进度180/643
已完成torch.where的API条件生成, 进度181/643
已完成torch.Generator的API条件生成, 进度182/643
已完成torch.seed的API条件生成, 进度183/643
已完成torch.manual_seed的API条件生成, 进度184/643
已完成torch.initial_seed的API条件生成, 进度185/643
已完成torch.get_rng_state的API条件生成, 进度186/643
已完成torch.set_rng_state的API条件生成, 进度187/643
已完成torch.bernoulli的API条件生成, 进度188/643
已完成torch.multinomial的API条件生成, 进度189/643
已完成torch.normal的API条件生成, 进度190/643
已完成torch.normal的API条件生成, 进度191/643
已完成torch.normal的API条件生成, 进度192/643
已完成torch.normal的API条件生成, 进度193/643
已完成torch.poisson的API条件生成, 进度194/643
已完成torch.quasirandom.SobolEngine的API条件生成, 进度195/643
已完成torch.save的API条件生成, 进度196/643
JSON 解析错误: Expecting value: line 1 column 1 (char 0)
已完成torch.load的API条件生成, 进度197/643
已完成torch.get_num_threads的API条件生成, 进度198/643
已完成torch.set_num_threads的API条件生成, 进度199/643
已完成torch.get_num_interop_threads的API条件生成, 进度200/643
已完成torch.set_num_interop_threads的API条件生成, 进度201/643
已完成torch.set_grad_enabled的API条件生成, 进度202/643
已完成torch.abs的API条件生成, 进度203/643
已完成torch.absolute的API条件生成, 进度204/643
已完成torch.acos的API条件生成, 进度205/643
已完成torch.arccos的API条件生成, 进度206/643
已完成torch.acosh的API条件生成, 进度207/643
已完成torch.arccosh的API条件生成, 进度208/643
已完成torch.add的API条件生成, 进度209/643
已完成torch.add的API条件生成, 进度210/643
已完成torch.addcdiv的API条件生成, 进度211/643
已完成torch.addcmul的API条件生成, 进度212/643
已完成torch.asin的API条件生成, 进度213/643
已完成torch.arcsin的API条件生成, 进度214/643
已完成torch.asinh的API条件生成, 进度215/643
已完成torch.arcsinh的API条件生成, 进度216/643
已完成torch.atan的API条件生成, 进度217/643
已完成torch.arctan的API条件生成, 进度218/643
已完成torch.atanh的API条件生成, 进度219/643
已完成torch.arctanh的API条件生成, 进度220/643
已完成torch.atan2的API条件生成, 进度221/643
已完成torch.bitwise_not的API条件生成, 进度222/643
已完成torch.bitwise_and的API条件生成, 进度223/643
已完成torch.bitwise_or的API条件生成, 进度224/643
已完成torch.bitwise_xor的API条件生成, 进度225/643
已完成torch.ceil的API条件生成, 进度226/643
已完成torch.clamp的API条件生成, 进度227/643
已完成torch.max的API条件生成, 进度228/643
已完成torch.max的API条件生成, 进度229/643
已完成torch.max的API条件生成, 进度230/643
已完成torch.clip的API条件生成, 进度231/643
已完成torch.conj的API条件生成, 进度232/643
已完成torch.copysign的API条件生成, 进度233/643
已完成torch.cos的API条件生成, 进度234/643
已完成torch.cosh的API条件生成, 进度235/643
已完成torch.deg2rad的API条件生成, 进度236/643
已完成torch.div的API条件生成, 进度237/643
已完成torch.divide的API条件生成, 进度238/643
已完成torch.digamma的API条件生成, 进度239/643
已完成torch.erf的API条件生成, 进度240/643
已完成torch.erfc的API条件生成, 进度241/643
已完成torch.erfinv的API条件生成, 进度242/643
已完成torch.exp的API条件生成, 进度243/643
已完成torch.exp2的API条件生成, 进度244/643
已完成torch.expm1的API条件生成, 进度245/643
已完成torch.fake_quantize_per_channel_affine的API条件生成, 进度246/643
已完成torch.fake_quantize_per_tensor_affine的API条件生成, 进度247/643
已完成torch.fix的API条件生成, 进度248/643
已完成torch.trunc的API条件生成, 进度249/643
已完成torch.float_power的API条件生成, 进度250/643
已完成torch.floor的API条件生成, 进度251/643
已完成torch.floor_divide的API条件生成, 进度252/643
已完成torch.fmod的API条件生成, 进度253/643
已完成torch.frac的API条件生成, 进度254/643
已完成torch.ldexp的API条件生成, 进度255/643
已完成torch.lerp的API条件生成, 进度256/643
已完成torch.lgamma的API条件生成, 进度257/643
已完成torch.log的API条件生成, 进度258/643
已完成torch.log10的API条件生成, 进度259/643
已完成torch.log1p的API条件生成, 进度260/643
已完成torch.log2的API条件生成, 进度261/643
已完成torch.logaddexp的API条件生成, 进度262/643
已完成torch.logaddexp2的API条件生成, 进度263/643
已完成torch.logical_and的API条件生成, 进度264/643
已完成torch.logical_not的API条件生成, 进度265/643
已完成torch.logical_or的API条件生成, 进度266/643
已完成torch.logical_xor的API条件生成, 进度267/643
已完成torch.logit的API条件生成, 进度268/643
已完成torch.hypot的API条件生成, 进度269/643
已完成torch.i0的API条件生成, 进度270/643
已完成torch.igamma的API条件生成, 进度271/643
已完成torch.igammac的API条件生成, 进度272/643
已完成torch.mul的API条件生成, 进度273/643
已完成torch.mul的API条件生成, 进度274/643
已完成torch.multiply的API条件生成, 进度275/643
已完成torch.mvlgamma的API条件生成, 进度276/643
已完成torch.nan_to_num的API条件生成, 进度277/643
已完成torch.neg的API条件生成, 进度278/643
已完成torch.negative的API条件生成, 进度279/643
已完成torch.nextafter的API条件生成, 进度280/643
已完成torch.polygamma的API条件生成, 进度281/643
已完成torch.pow的API条件生成, 进度282/643
已完成torch.pow的API条件生成, 进度283/643
已完成torch.rad2deg的API条件生成, 进度284/643
已完成torch.real的API条件生成, 进度285/643
已完成torch.reciprocal的API条件生成, 进度286/643
已完成torch.remainder的API条件生成, 进度287/643
已完成torch.round的API条件生成, 进度288/643
已完成torch.rsqrt的API条件生成, 进度289/643
已完成torch.sigmoid的API条件生成, 进度290/643
已完成torch.sign的API条件生成, 进度291/643
已完成torch.sgn的API条件生成, 进度292/643
已完成torch.signbit的API条件生成, 进度293/643
已完成torch.sin的API条件生成, 进度294/643
已完成torch.sinc的API条件生成, 进度295/643
已完成torch.sinh的API条件生成, 进度296/643
已完成torch.sqrt的API条件生成, 进度297/643
已完成torch.square的API条件生成, 进度298/643
已完成torch.sub的API条件生成, 进度299/643
已完成torch.subtract的API条件生成, 进度300/643
已完成torch.tan的API条件生成, 进度301/643
已完成torch.tanh的API条件生成, 进度302/643
已完成torch.true_divide的API条件生成, 进度303/643
已完成torch.xlogy的API条件生成, 进度304/643
已完成torch.argmax的API条件生成, 进度305/643
已完成torch.argmax的API条件生成, 进度306/643
已完成torch.argmin的API条件生成, 进度307/643
已完成torch.amax的API条件生成, 进度308/643
已完成torch.amin的API条件生成, 进度309/643
已完成torch.all的API条件生成, 进度310/643
已完成torch.all的API条件生成, 进度311/643
已完成torch.any的API条件生成, 进度312/643
已完成torch.any的API条件生成, 进度313/643
已完成torch.min的API条件生成, 进度314/643
已完成torch.min的API条件生成, 进度315/643
已完成torch.min的API条件生成, 进度316/643
已完成torch.dist的API条件生成, 进度317/643
已完成torch.logsumexp的API条件生成, 进度318/643
已完成torch.mean的API条件生成, 进度319/643
已完成torch.mean的API条件生成, 进度320/643
已完成torch.median的API条件生成, 进度321/643
已完成torch.median的API条件生成, 进度322/643
已完成torch.nanmedian的API条件生成, 进度323/643
已完成torch.nanmedian的API条件生成, 进度324/643
已完成torch.mode的API条件生成, 进度325/643
已完成torch.norm的API条件生成, 进度326/643
已完成torch.nansum的API条件生成, 进度327/643
已完成torch.nansum的API条件生成, 进度328/643
已完成torch.prod的API条件生成, 进度329/643
已完成torch.prod的API条件生成, 进度330/643
已完成torch.quantile的API条件生成, 进度331/643
已完成torch.nanquantile的API条件生成, 进度332/643
已完成torch.std的API条件生成, 进度333/643
已完成torch.std的API条件生成, 进度334/643
已完成torch.std_mean的API条件生成, 进度335/643
已完成torch.std_mean的API条件生成, 进度336/643
已完成torch.sum的API条件生成, 进度337/643
已完成torch.sum的API条件生成, 进度338/643
JSON 解析错误: Expecting value: line 1 column 1 (char 0)
已完成torch.unique的API条件生成, 进度339/643
已完成torch.unique_consecutive的API条件生成, 进度340/643
已完成torch.var的API条件生成, 进度341/643
已完成torch.var的API条件生成, 进度342/643
已完成torch.var_mean的API条件生成, 进度343/643
已完成torch.var_mean的API条件生成, 进度344/643
已完成torch.count_nonzero的API条件生成, 进度345/643
已完成torch.allclose的API条件生成, 进度346/643
已完成torch.argsort的API条件生成, 进度347/643
已完成torch.eq的API条件生成, 进度348/643
已完成torch.equal的API条件生成, 进度349/643
已完成torch.ge的API条件生成, 进度350/643
已完成torch.greater_equal的API条件生成, 进度351/643
已完成torch.gt的API条件生成, 进度352/643
已完成torch.greater的API条件生成, 进度353/643
已完成torch.isclose的API条件生成, 进度354/643
已完成torch.isfinite的API条件生成, 进度355/643
已完成torch.isinf的API条件生成, 进度356/643
已完成torch.isposinf的API条件生成, 进度357/643
已完成torch.isneginf的API条件生成, 进度358/643
已完成torch.isnan的API条件生成, 进度359/643
已完成torch.isreal的API条件生成, 进度360/643
已完成torch.kthvalue的API条件生成, 进度361/643
已完成torch.le的API条件生成, 进度362/643
已完成torch.less_equal的API条件生成, 进度363/643
已完成torch.lt的API条件生成, 进度364/643
已完成torch.less的API条件生成, 进度365/643
已完成torch.maximum的API条件生成, 进度366/643
已完成torch.minimum的API条件生成, 进度367/643
已完成torch.fmax的API条件生成, 进度368/643
已完成torch.fmin的API条件生成, 进度369/643
已完成torch.ne的API条件生成, 进度370/643
已完成torch.not_equal的API条件生成, 进度371/643
已完成torch.sort的API条件生成, 进度372/643
已完成torch.topk的API条件生成, 进度373/643
已完成torch.msort的API条件生成, 进度374/643
JSON 解析错误: Expecting value: line 1 column 1 (char 0)
已完成torch.stft的API条件生成, 进度375/643
已完成torch.istft的API条件生成, 进度376/643
已完成torch.bartlett_window的API条件生成, 进度377/643
已完成torch.blackman_window的API条件生成, 进度378/643
已完成torch.hamming_window的API条件生成, 进度379/643
已完成torch.hann_window的API条件生成, 进度380/643
已完成torch.kaiser_window的API条件生成, 进度381/643
已完成torch.atleast_1d的API条件生成, 进度382/643
已完成torch.atleast_2d的API条件生成, 进度383/643
已完成torch.atleast_3d的API条件生成, 进度384/643
已完成torch.bincount的API条件生成, 进度385/643
已完成torch.block_diag的API条件生成, 进度386/643
已完成torch.broadcast_tensors的API条件生成, 进度387/643
已完成torch.broadcast_to的API条件生成, 进度388/643
已完成torch.broadcast_shapes的API条件生成, 进度389/643
已完成torch.bucketize的API条件生成, 进度390/643
已完成torch.cartesian_prod的API条件生成, 进度391/643
已完成torch.cdist的API条件生成, 进度392/643
已完成torch.clone的API条件生成, 进度393/643
已完成torch.combinations的API条件生成, 进度394/643
已完成torch.cross的API条件生成, 进度395/643
已完成torch.cummax的API条件生成, 进度396/643
已完成torch.cummin的API条件生成, 进度397/643
已完成torch.cumprod的API条件生成, 进度398/643
已完成torch.cumsum的API条件生成, 进度399/643
已完成torch.diag的API条件生成, 进度400/643
已完成torch.diag_embed的API条件生成, 进度401/643
已完成torch.diagflat的API条件生成, 进度402/643
已完成torch.diagonal的API条件生成, 进度403/643
已完成torch.diff的API条件生成, 进度404/643
未找到 </think> 标签
已完成torch.einsum的API条件生成, 进度405/643
已完成torch.flatten的API条件生成, 进度406/643
已完成torch.flip的API条件生成, 进度407/643
已完成torch.fliplr的API条件生成, 进度408/643
已完成torch.flipud的API条件生成, 进度409/643
已完成torch.kron的API条件生成, 进度410/643
已完成torch.rot90的API条件生成, 进度411/643
已完成torch.gcd的API条件生成, 进度412/643
已完成torch.histc的API条件生成, 进度413/643
已完成torch.meshgrid的API条件生成, 进度414/643
已完成torch.lcm的API条件生成, 进度415/643
已完成torch.logcumsumexp的API条件生成, 进度416/643
已完成torch.ravel的API条件生成, 进度417/643
已完成torch.renorm的API条件生成, 进度418/643
已完成torch.repeat_interleave的API条件生成, 进度419/643
已完成torch.repeat_interleave的API条件生成, 进度420/643
已完成torch.roll的API条件生成, 进度421/643
已完成torch.searchsorted的API条件生成, 进度422/643
已完成torch.tensordot的API条件生成, 进度423/643
已完成torch.trace的API条件生成, 进度424/643
已完成torch.tril的API条件生成, 进度425/643
已完成torch.tril_indices的API条件生成, 进度426/643
未找到 </think> 标签
已完成torch.triu的API条件生成, 进度427/643
已完成torch.triu_indices的API条件生成, 进度428/643
已完成torch.vander的API条件生成, 进度429/643
已完成torch.view_as_real的API条件生成, 进度430/643
已完成torch.view_as_complex的API条件生成, 进度431/643
已完成torch.addbmm的API条件生成, 进度432/643
已完成torch.addmm的API条件生成, 进度433/643
已完成torch.addmv的API条件生成, 进度434/643
已完成torch.addr的API条件生成, 进度435/643
已完成torch.baddbmm的API条件生成, 进度436/643
已完成torch.bmm的API条件生成, 进度437/643
已完成torch.chain_matmul的API条件生成, 进度438/643
已完成torch.cholesky的API条件生成, 进度439/643
已完成torch.cholesky_inverse的API条件生成, 进度440/643
已完成torch.cholesky_solve的API条件生成, 进度441/643
已完成torch.dot的API条件生成, 进度442/643
已完成torch.eig的API条件生成, 进度443/643
已完成torch.geqrf的API条件生成, 进度444/643
已完成torch.ger的API条件生成, 进度445/643
已完成torch.outer的API条件生成, 进度446/643
已完成torch.inner的API条件生成, 进度447/643
已完成torch.inverse的API条件生成, 进度448/643
已完成torch.det的API条件生成, 进度449/643
已完成torch.logdet的API条件生成, 进度450/643
已完成torch.slogdet的API条件生成, 进度451/643
已完成torch.lstsq的API条件生成, 进度452/643
已完成torch.lu的API条件生成, 进度453/643
已完成torch.lu_solve的API条件生成, 进度454/643
已完成torch.lu_unpack的API条件生成, 进度455/643
已完成torch.matmul的API条件生成, 进度456/643
已完成torch.matrix_power的API条件生成, 进度457/643
已完成torch.matrix_rank的API条件生成, 进度458/643
已完成torch.matrix_exp的API条件生成, 进度459/643
已完成torch.mm的API条件生成, 进度460/643
已完成torch.mv的API条件生成, 进度461/643
已完成torch.orgqr的API条件生成, 进度462/643
已完成torch.ormqr的API条件生成, 进度463/643
已完成torch.pinverse的API条件生成, 进度464/643
已完成torch.qr的API条件生成, 进度465/643
已完成torch.solve的API条件生成, 进度466/643
未找到 </think> 标签
已完成torch.svd的API条件生成, 进度467/643
已完成torch.svd_lowrank的API条件生成, 进度468/643
已完成torch.pca_lowrank的API条件生成, 进度469/643
已完成torch.symeig的API条件生成, 进度470/643
未找到 </think> 标签
已完成torch.lobpcg的API条件生成, 进度471/643
已完成torch.trapz的API条件生成, 进度472/643
已完成torch.trapz的API条件生成, 进度473/643
已完成torch.triangular_solve的API条件生成, 进度474/643
已完成torch.vdot的API条件生成, 进度475/643
已完成torch.compiled_with_cxx11_abi的API条件生成, 进度476/643
已完成torch.result_type的API条件生成, 进度477/643
已完成torch.can_cast的API条件生成, 进度478/643
已完成torch.promote_types的API条件生成, 进度479/643
JSON 解析错误: Expecting value: line 1 column 1 (char 0)
已完成torch.use_deterministic_algorithms的API条件生成, 进度480/643
已完成torch.are_deterministic_algorithms_enabled的API条件生成, 进度481/643
已完成torch._assert的API条件生成, 进度482/643
已完成torch.nn.Sequential的API条件生成, 进度483/643
已完成torch.nn.ModuleList的API条件生成, 进度484/643
已完成torch.nn.ModuleDict的API条件生成, 进度485/643
已完成torch.nn.ParameterList的API条件生成, 进度486/643
已完成torch.nn.ParameterDict的API条件生成, 进度487/643
已完成torch.nn.modules.module.register_module_forward_pre_hook的API条件生成, 进度488/643
已完成torch.nn.modules.module.register_module_forward_hook的API条件生成, 进度489/643
已完成torch.nn.modules.module.register_module_backward_hook的API条件生成, 进度490/643
未找到 </think> 标签
已完成torch.nn.Conv1d的API条件生成, 进度491/643
JSON 解析错误: Expecting value: line 1 column 1 (char 0)
已完成torch.nn.Conv2d的API条件生成, 进度492/643
JSON 解析错误: Expecting value: line 1 column 1 (char 0)
已完成torch.nn.Conv3d的API条件生成, 进度493/643
已完成torch.nn.ConvTranspose1d的API条件生成, 进度494/643
JSON 解析错误: Expecting value: line 1 column 1 (char 0)
已完成torch.nn.ConvTranspose2d的API条件生成, 进度495/643
JSON 解析错误: Expecting value: line 1 column 1 (char 0)
已完成torch.nn.ConvTranspose3d的API条件生成, 进度496/643
已完成torch.nn.LazyConv1d的API条件生成, 进度497/643
已完成torch.nn.LazyConv2d的API条件生成, 进度498/643
已完成torch.nn.LazyConv3d的API条件生成, 进度499/643
已完成torch.nn.LazyConvTranspose1d的API条件生成, 进度500/643
已完成torch.nn.LazyConvTranspose2d的API条件生成, 进度501/643
已完成torch.nn.LazyConvTranspose3d的API条件生成, 进度502/643
未找到 </think> 标签
已完成torch.nn.Unfold的API条件生成, 进度503/643
已完成torch.nn.Fold的API条件生成, 进度504/643
已完成torch.nn.MaxPool1d的API条件生成, 进度505/643
已完成torch.nn.MaxPool2d的API条件生成, 进度506/643
已完成torch.nn.MaxPool3d的API条件生成, 进度507/643
已完成torch.nn.MaxUnpool1d的API条件生成, 进度508/643
已完成torch.nn.MaxUnpool2d的API条件生成, 进度509/643
已完成torch.nn.MaxUnpool3d的API条件生成, 进度510/643
已完成torch.nn.AvgPool1d的API条件生成, 进度511/643
已完成torch.nn.AvgPool2d的API条件生成, 进度512/643
已完成torch.nn.AvgPool3d的API条件生成, 进度513/643
已完成torch.nn.FractionalMaxPool2d的API条件生成, 进度514/643
已完成torch.nn.LPPool1d的API条件生成, 进度515/643
已完成torch.nn.LPPool2d的API条件生成, 进度516/643
已完成torch.nn.AdaptiveMaxPool1d的API条件生成, 进度517/643
已完成torch.nn.AdaptiveMaxPool2d的API条件生成, 进度518/643
已完成torch.nn.AdaptiveMaxPool3d的API条件生成, 进度519/643
已完成torch.nn.AdaptiveAvgPool1d的API条件生成, 进度520/643
已完成torch.nn.AdaptiveAvgPool2d的API条件生成, 进度521/643
已完成torch.nn.AdaptiveAvgPool3d的API条件生成, 进度522/643
已完成torch.nn.ReflectionPad1d的API条件生成, 进度523/643
已完成torch.nn.ReflectionPad2d的API条件生成, 进度524/643
